metric,statistic,value
click_event_ratio,count,1001845.0
click_event_ratio,mean,0.09720038087245844
click_event_ratio,min,0.0
click_event_ratio,p25,0.05102040816326531
click_event_ratio,p50,0.08333333333333333
click_event_ratio,p75,0.12790697674418605
click_event_ratio,p90,0.18085106382978725
click_event_ratio,p95,0.22
click_event_ratio,p99,0.3229166666666667
click_event_ratio,max,1.0
unknown_ratio,count,1001845.0
unknown_ratio,mean,0.008505756557013681
unknown_ratio,min,0.0
unknown_ratio,p25,0.0
unknown_ratio,p50,0.0
unknown_ratio,p75,0.010526315789473684
unknown_ratio,p90,0.024390243902439025
unknown_ratio,p95,0.04040404040404041
unknown_ratio,p99,0.08602150537634409
unknown_ratio,max,0.673469387755102
