metric,unit,statistic,value
history_span,seconds,count,1001845.0
history_span,seconds,mean,3304291.470072716
history_span,seconds,min,5114.0
history_span,seconds,p25,1576393.0
history_span,seconds,p50,2308576.0
history_span,seconds,p75,3590391.0
history_span,seconds,p90,6442507.199999996
history_span,seconds,p95,9796792.599999994
history_span,seconds,p99,17883290.559999984
history_span,seconds,max,19794376.0
history_span,days,count,1001845.0
history_span,days,mean,38.24411423695273
history_span,days,min,0.05918981481481481
history_span,days,p25,18.245289351851852
history_span,days,p50,26.71962962962963
history_span,days,p75,41.55545138888889
history_span,days,p90,74.56605555555551
history_span,days,p95,113.38880324074067
history_span,days,p99,206.98252962962945
history_span,days,max,229.10157407407408
delta_t,seconds,count,89221729.0
delta_t,seconds,mean,
delta_t,seconds,min,0.0
delta_t,seconds,p25,732.0
delta_t,seconds,p50,6449.0
delta_t,seconds,p75,42078.0
delta_t,seconds,p90,86267.0
delta_t,seconds,p95,140454.0
delta_t,seconds,p99,366449.0
delta_t,seconds,max,17796030.0
