history_group,available_feature_count,candidate_count,candidate_ratio_within_group
seen,1,151,0.00029548225247490845
seen,3,3,5.870508327316062e-06
seen,4,1,1.956836109105354e-06
seen,5,479,0.0009373244962614647
seen,6,2,3.913672218210708e-06
seen,7,2373,0.004643572086907005
seen,8,816,0.001596778265029969
seen,9,104,0.00020351095534695683
seen,10,22,4.305039440031779e-05
seen,11,4760,0.009314539879341485
seen,12,351016,0.686880783673725
seen,13,151302,0.2960732169798583
unseen,1,41,0.0002752213518067275
unseen,5,209,0.0014029576226245377
unseen,6,1,6.712715897725061e-06
unseen,7,1264,0.008484872894724476
unseen,8,255,0.0017117425539198905
unseen,9,14,9.397802256815085e-05
unseen,10,9,6.0414443079525545e-05
unseen,11,503,0.0033764960965557054
unseen,12,103219,0.6928798222472831
unseen,13,43456,0.29170778205154024
