feature,history_group,cold_start_value,candidate_count,candidate_ratio_within_group
100,seen,0,510341,0.9986536967569355
100,seen,null,688,0.0013463032430644836
100,unseen,0,148865,0.9992884521148412
100,unseen,null,106,0.0007115478851588565
101,seen,0,510341,0.9986536967569355
101,seen,null,688,0.0013463032430644836
101,unseen,0,148865,0.9992884521148412
101,unseen,null,106,0.0007115478851588565
102,seen,0,505493,0.9891669552999928
102,seen,null,5536,0.01083304470000724
102,unseen,0,146081,0.9806002510555746
102,unseen,1,2278,0.015291566815017688
102,unseen,null,612,0.004108182129407737
112,seen,0,507636,0.9933604550818055
112,seen,null,3393,0.0066395449181944665
112,unseen,0,147257,0.9884944049512993
112,unseen,null,1714,0.011505595048700754
114,seen,0,510381,0.9987319702012998
114,seen,null,648,0.0012680297987002695
114,unseen,0,148712,0.9982614065824892
114,unseen,null,259,0.0017385934175107908
115,seen,0,151880,0.29720426825092117
115,seen,null,359149,0.7027957317490788
115,unseen,0,43665,0.2931107396741648
115,unseen,1,7,4.698901128407543e-05
115,unseen,null,105299,0.7068422713145511
116,seen,0,510379,0.9987280565290815
116,seen,null,650,0.0012719434709184802
116,unseen,0,148711,0.9982546938665915
116,unseen,null,260,0.0017453061334085159
117,seen,0,507636,0.9933604550818055
117,seen,null,3393,0.0066395449181944665
117,unseen,0,147256,0.9884876922354016
117,unseen,1,1,6.712715897725061e-06
117,unseen,null,1714,0.011505595048700754
118,seen,0,507634,0.9933565414095873
118,seen,null,3395,0.006643458590412677
118,unseen,0,147247,0.988427277792322
118,unseen,1,5,3.35635794886253e-05
118,unseen,null,1719,0.01153915862818938
119,seen,0,507630,0.9933487140651509
119,seen,null,3399,0.006651285934849099
119,unseen,0,147228,0.9882997361902652
119,unseen,1,24,0.00016110518154540144
119,unseen,null,1719,0.01153915862818938
120,seen,0,507620,0.9933291457040598
120,seen,1,3,5.870508327316062e-06
120,seen,null,3406,0.006664983787612836
120,unseen,0,147232,0.9883265870538561
120,unseen,1,15,0.0001006907384658759
120,unseen,null,1724,0.011572722207678004
121,seen,0,511029,1.0
121,unseen,0,95815,0.6431788737405266
121,unseen,1,53156,0.3568211262594733
122,seen,0,510341,0.9986536967569355
122,seen,null,688,0.0013463032430644836
122,unseen,0,146584,0.9839767471521302
122,unseen,1,2281,0.015311704962710863
122,unseen,null,106,0.0007115478851588565
