feature,history_group,non_null_feature_value_count,candidate_count,non_null_feature_value_ratio
100,seen,510341,511029,0.9986536967569355
100,unseen,148865,148971,0.9992884521148412
101,seen,510341,511029,0.9986536967569355
101,unseen,148865,148971,0.9992884521148412
102,seen,505493,511029,0.9891669552999928
102,unseen,148359,148971,0.9958918178705922
112,seen,507636,511029,0.9933604550818055
112,unseen,147257,148971,0.9884944049512993
114,seen,510381,511029,0.9987319702012998
114,unseen,148712,148971,0.9982614065824892
115,seen,151880,511029,0.29720426825092117
115,unseen,43672,148971,0.29315772868544887
116,seen,510379,511029,0.9987280565290815
116,unseen,148711,148971,0.9982546938665915
117,seen,507636,511029,0.9933604550818055
117,unseen,147257,148971,0.9884944049512993
118,seen,507634,511029,0.9933565414095873
118,unseen,147252,148971,0.9884608413718107
119,seen,507630,511029,0.9933487140651509
119,unseen,147252,148971,0.9884608413718107
120,seen,507623,511029,0.9933350162123872
120,unseen,147247,148971,0.988427277792322
121,seen,511029,511029,1.0
121,unseen,148971,148971,1.0
122,seen,510341,511029,0.9986536967569355
122,unseen,148865,148971,0.9992884521148412
