feature,cold_start_value,candidate_count,candidate_ratio
100,0,659206,0.9987969696969697
100,null,794,0.001203030303030303
101,0,659206,0.9987969696969697
101,null,794,0.001203030303030303
102,0,651574,0.9872333333333333
102,1,2278,0.0034515151515151516
102,null,6148,0.009315151515151516
112,0,654893,0.9922621212121212
112,null,5107,0.0077378787878787875
114,0,659093,0.9986257575757576
114,null,907,0.0013742424242424243
115,0,195545,0.296280303030303
115,1,7,1.0606060606060606e-05
115,null,464448,0.703709090909091
116,0,659090,0.9986212121212121
116,null,910,0.0013787878787878789
117,0,654892,0.9922606060606061
117,1,1,1.5151515151515152e-06
117,null,5107,0.0077378787878787875
118,0,654881,0.9922439393939394
118,1,5,7.575757575757576e-06
118,null,5114,0.007748484848484848
119,0,654858,0.9922090909090909
119,1,24,3.6363636363636364e-05
119,null,5118,0.007754545454545455
120,0,654852,0.9922
120,1,18,2.7272727272727273e-05
120,null,5130,0.007772727272727272
121,0,606844,0.9194606060606061
121,1,53156,0.08053939393939394
122,0,656925,0.9953409090909091
122,1,2281,0.003456060606060606
122,null,794,0.001203030303030303
