table,feature,dtype,row_count,struct_null_count,feature_value_null_count,feature_value_non_null_count,feature_value_non_null_ratio,feature_value_unique_count,cold_start_distribution
candidate,100,"struct<cold_start: int64, feature_value: string>",660000,0,794,659206,0.9987969696969697,6,"{""0"": 659206, ""null"": 794}"
candidate,101,"struct<cold_start: int64, feature_value: string>",660000,0,794,659206,0.9987969696969697,49,"{""0"": 659206, ""null"": 794}"
candidate,102,"struct<cold_start: int64, feature_value: string>",660000,0,6148,653852,0.9906848484848485,32105,"{""0"": 651574, ""1"": 2278, ""null"": 6148}"
candidate,112,"struct<cold_start: int64, feature_value: string>",660000,0,5107,654893,0.9922621212121212,27,"{""0"": 654893, ""null"": 5107}"
candidate,114,"struct<cold_start: int64, feature_value: string>",660000,0,907,659093,0.9986257575757576,18,"{""0"": 659093, ""null"": 907}"
candidate,115,"struct<cold_start: int64, feature_value: string>",660000,0,464448,195552,0.2962909090909091,307,"{""0"": 195545, ""1"": 7, ""null"": 464448}"
candidate,116,"struct<cold_start: int64, feature_value: string>",660000,0,910,659090,0.9986212121212121,18,"{""0"": 659090, ""null"": 910}"
candidate,117,"struct<cold_start: int64, feature_value: string>",660000,0,5107,654893,0.9922621212121212,361,"{""0"": 654892, ""1"": 1, ""null"": 5107}"
candidate,118,"struct<cold_start: int64, feature_value: string>",660000,0,5114,654886,0.9922515151515151,1024,"{""0"": 654881, ""1"": 5, ""null"": 5114}"
candidate,119,"struct<cold_start: int64, feature_value: string>",660000,0,5118,654882,0.9922454545454545,2877,"{""0"": 654858, ""1"": 24, ""null"": 5118}"
candidate,120,"struct<cold_start: int64, feature_value: string>",660000,0,5130,654870,0.9922272727272727,2478,"{""0"": 654852, ""1"": 18, ""null"": 5130}"
candidate,121,"struct<cold_start: int64, feature_value: string>",660000,0,0,660000,1.0,343049,"{""0"": 606844, ""1"": 53156}"
candidate,122,"struct<cold_start: int64, feature_value: string>",660000,0,794,659206,0.9987969696969697,32151,"{""0"": 656925, ""1"": 2281, ""null"": 794}"
