analysis_scope,date,calendar_date,bucket_start_timestamp,days_from_train_cutoff,split,target_count,head_count,mid_count,tail_count,unseen_count,head_ratio,mid_ratio,tail_ratio,unseen_ratio,used_for_trend
all_targets,2025-05-19,2025-05-19,1747621423,0,Validation,334562,190982,37829,14097,91654,0.5708418768419605,0.11307022315744167,0.04213568785456806,0.2739522121460297,True
all_targets,2025-05-20,2025-05-20,1747707823,1,Validation,326333,127683,26381,10495,161774,0.39126597677832153,0.08084073630310143,0.03216040057242142,0.4957328863461556,True
all_targets,2025-05-21,2025-05-21,1747794223,2,Validation,207744,66564,13224,4810,123146,0.32041358595194086,0.06365526802218115,0.0231534966112138,0.5927776494146642,True
all_targets,2025-05-21,2025-05-21,1747794223,2,Test,118091,32875,6481,2566,76169,0.2783870066304799,0.05488140501816396,0.021729005597378292,0.6450025827539778,True
all_targets,2025-05-22,2025-05-22,1747880623,3,Test,315684,86713,15940,6112,206919,0.27468291075886014,0.05049353150618974,0.019361133285183917,0.6554624244497662,True
all_targets,2025-05-23,2025-05-23,1747967023,4,Test,257995,63691,10942,4581,178781,0.24686912537064673,0.042411674644857456,0.01775615806507878,0.692963041919417,True
all_targets,2025-05-24,2025-05-24,1748053423,5,Test,53072,11725,2130,750,38467,0.22092628881519447,0.04013415737111848,0.014131745553210732,0.7248078082604763,True
all_targets,2025-05-25,2025-05-25,1748139823,6,Test,42397,9173,1675,630,30919,0.21635964808830813,0.03950751232398519,0.014859541948722787,0.7292732976389839,True
all_targets,2025-05-26,2025-05-26,1748226223,7,Test,33033,7248,1185,483,24117,0.21941694668967396,0.03587321769139951,0.014621741894469168,0.7300880937244574,True
all_targets,2025-05-27,2025-05-27,1748312623,8,Test,22355,4318,735,280,17022,0.19315589353612167,0.03287855065980765,0.0125251621561172,0.7614403936479535,True
all_targets,2025-05-28,2025-05-28,1748399023,9,Test,15465,2683,468,211,12103,0.17348852247009375,0.03026188166828322,0.013643711606854186,0.7826058842547688,True
all_targets,2025-05-29,2025-05-29,1748485423,10,Test,4975,756,146,60,4013,0.1519597989949749,0.029346733668341708,0.012060301507537688,0.8066331658291457,True
all_targets,2025-05-30,2025-05-30,1748571823,11,Test,3161,500,103,28,2530,0.15817779183802594,0.032584625118633345,0.008857956342929452,0.8003796267004113,True
all_targets,2025-05-31,2025-05-31,1748658223,12,Test,1618,261,63,22,1272,0.16131025957972805,0.03893695920889988,0.013597033374536464,0.7861557478368356,True
all_targets,2025-06-01,2025-06-01,1748744623,13,Test,664,95,29,7,533,0.1430722891566265,0.043674698795180725,0.010542168674698794,0.802710843373494,False
all_targets,2025-06-02,2025-06-02,1748831023,14,Test,124,21,2,1,100,0.1693548387096774,0.016129032258064516,0.008064516129032258,0.8064516129032258,False
