analysis_scope,date,calendar_date,bucket_start_timestamp,days_from_train_cutoff,split,target_count,head_count,mid_count,tail_count,unseen_count,head_ratio,mid_ratio,tail_ratio,unseen_ratio,used_for_trend
primary,2025-05-19,2025-05-19,1747621423,0,Validation,245235,144489,27693,10201,62852,0.5891858829286195,0.11292433787999266,0.041596835688217426,0.25629294350317045,True
primary,2025-05-20,2025-05-20,1747707823,1,Validation,146108,58905,11714,4610,70879,0.40316067566457686,0.08017357023571604,0.03155200262819284,0.4851137514715142,True
primary,2025-05-21,2025-05-21,1747794223,2,Validation,64863,21895,3907,1485,37576,0.33755762144828333,0.06023464841280853,0.022894408214236158,0.579313321924672,True
primary,2025-05-21,2025-05-21,1747794223,2,Test,97333,27113,5211,2108,62901,0.2785591731478532,0.05353785458169377,0.02165760841646718,0.6462453638539858,True
primary,2025-05-22,2025-05-22,1747880623,3,Test,173744,47432,8555,3337,114420,0.27299935537342296,0.049239110415323695,0.019206418638917026,0.6585551155723363,True
primary,2025-05-23,2025-05-23,1747967023,4,Test,80285,19817,3274,1403,55791,0.24683315687861992,0.040779722239521705,0.017475244441676526,0.6949118764401818,True
primary,2025-05-24,2025-05-24,1748053423,5,Test,8422,1853,340,112,6117,0.22001899786274043,0.040370458323438614,0.01329850391830919,0.7263120398955117,True
primary,2025-05-25,2025-05-25,1748139823,6,Test,4960,1018,201,60,3681,0.20524193548387096,0.0405241935483871,0.012096774193548387,0.7421370967741936,True
primary,2025-05-26,2025-05-26,1748226223,7,Test,2895,565,95,29,2206,0.19516407599309155,0.03281519861830743,0.01001727115716753,0.7620034542314335,True
primary,2025-05-27,2025-05-27,1748312623,8,Test,1632,287,53,18,1274,0.17585784313725492,0.032475490196078434,0.011029411764705883,0.7806372549019608,True
primary,2025-05-28,2025-05-28,1748399023,9,Test,848,126,38,10,674,0.14858490566037735,0.04481132075471698,0.01179245283018868,0.7948113207547169,False
primary,2025-05-29,2025-05-29,1748485423,10,Test,257,41,5,6,205,0.15953307392996108,0.019455252918287938,0.023346303501945526,0.7976653696498055,False
primary,2025-05-30,2025-05-30,1748571823,11,Test,171,27,6,3,135,0.15789473684210525,0.03508771929824561,0.017543859649122806,0.7894736842105263,False
primary,2025-05-31,2025-05-31,1748658223,12,Test,91,19,3,0,69,0.2087912087912088,0.03296703296703297,0.0,0.7582417582417582,False
primary,2025-06-01,2025-06-01,1748744623,13,Test,32,7,2,0,23,0.21875,0.0625,0.0,0.71875,False
primary,2025-06-02,2025-06-02,1748831023,14,Test,3,0,0,1,2,0.0,0.0,0.3333333333333333,0.6666666666666666,False
