feature,both_non_null_count,equal_count,mismatch_count,match_ratio,candidate_null_item_non_null,candidate_non_null_item_null
100,509389,509389,0,1.0,616,952
101,509389,509389,0,1.0,616,952
102,504671,504671,0,1.0,557,822
112,506707,506594,113,0.9997769914368659,1036,929
114,509813,509802,11,0.9999784234611514,358,568
115,151793,151734,59,0.9996113127746339,58,87
116,509811,509811,0,1.0,359,568
117,506707,505178,1529,0.9969824770528135,1036,929
118,506705,504533,2172,0.9957134822036491,1036,929
119,506701,503797,2904,0.994268809416204,1038,929
120,506694,504116,2578,0.9949121165831843,1040,929
121,511029,511029,0,1.0,0,0
122,509389,509389,0,1.0,616,952
