entity,feature,field_type,train_known_vocab_size,row_count,value_count,missing_count,missing_rate,oov_count,oov_rate
user,103,scalar,86,984141,984141,833,0.0008464234291630975,0,0.0
user,104,scalar,2,984141,984141,3690,0.0037494627294259665,0,0.0
user,105,scalar,7,984141,984141,138681,0.14091578340908467,0,0.0
user,109,scalar,3,984141,984141,343,0.0003485272943612755,0,0.0
user,106,list,14,984141,1710195,117761,0.11965866679672933,0,0.0
user,107,list,19,984141,382480,601661,0.6113565027775492,0,0.0
user,108,list,4,984141,169234,815642,0.8287857126163832,0,0.0
user,110,list,2,984141,678115,559503,0.5685191451224977,0,0.0
item_rid,100,scalar,6,4783154,4783154,4109,0.0008590565973832329,0,0.0
eval_candidate,100,scalar,6,815232,815232,1488,0.001825247291568535,0,0.0
item_rid,101,scalar,51,4783154,4783154,4109,0.0008590565973832329,0,0.0
eval_candidate,101,scalar,51,815232,815232,1488,0.001825247291568535,0,0.0
item_rid,102,scalar,79822,4783154,4783154,47237,0.00987570126322506,77254,0.016151267552748667
eval_candidate,102,scalar,79822,815232,815232,7695,0.009439030852567122,69771,0.08558422633066415
item_rid,112,scalar,30,4783154,4783154,81414,0.01702098657078572,0,0.0
eval_candidate,112,scalar,30,815232,815232,6322,0.007754847699795887,0,0.0
item_rid,114,scalar,20,4783154,4783154,4827,0.001009166754823282,0,0.0
eval_candidate,114,scalar,20,815232,815232,1391,0.001706262757104726,0,0.0
item_rid,115,scalar,658,4783154,4783154,3251739,0.6798315504790354,182,3.8050207039121046e-05
eval_candidate,115,scalar,658,815232,815232,574234,0.7043810841576386,146,0.00017909012403831057
item_rid,116,scalar,18,4783154,4783154,5008,0.0010470078947907595,0,0.0
eval_candidate,116,scalar,18,815232,815232,1394,0.0017099426911603077,0,0.0
item_rid,117,scalar,479,4783154,4783154,81414,0.01702098657078572,54,1.1289621868750201e-05
eval_candidate,117,scalar,479,815232,815232,6322,0.007754847699795887,51,6.25588789448893e-05
item_rid,118,scalar,1376,4783154,4783154,82451,0.01723778912408005,90,1.8816036447917002e-05
eval_candidate,118,scalar,1376,815232,815232,6329,0.007763434212592244,96,0.00011775788977861517
item_rid,119,scalar,3981,4783154,4783154,83260,0.01740692438503966,573,0.00011979543205173825
eval_candidate,119,scalar,3981,815232,815232,6333,0.007768340791333019,541,0.0006636147746899042
item_rid,120,scalar,3201,4783154,4783154,88172,0.018433861840952644,1707,0.0003568774912954925
eval_candidate,120,scalar,3201,815232,815232,6345,0.007783060527555346,1268,0.0015553854608258753
item_rid,121,scalar,1857917,4783154,4783154,0,0.0,599171,0.12526692638372086
eval_candidate,121,scalar,1857917,815232,815232,0,0.0,470295,0.576884862223269
item_rid,122,scalar,80000,4783154,4783154,4109,0.0008590565973832329,77632,0.016230294905829917
eval_candidate,122,scalar,80000,815232,815232,1488,0.001825247291568535,70154,0.08605403124509342
