entity,feature,field_type,train_known_vocab_size,row_count,value_count,missing_count,missing_rate,oov_count,oov_rate
user,103,scalar,66,983,983,0,0.0,0,0.0
user,104,scalar,2,983,983,3,0.003051881993896236,0,0.0
user,105,scalar,7,983,983,140,0.14242115971515767,0,0.0
user,109,scalar,3,983,983,1,0.001017293997965412,0,0.0
user,106,list,14,983,1750,107,0.10885045778229908,0,0.0
user,107,list,19,983,408,575,0.5849440488301119,0,0.0
user,108,list,4,983,175,810,0.8240081383519837,0,0.0
user,110,list,2,983,708,543,0.5523906408952187,0,0.0
item_rid,100,scalar,5,10000,10000,11,0.0011,32,0.0032
eval_candidate,100,scalar,5,10000,10000,1,0.0001,41,0.0041
item_rid,101,scalar,23,10000,10000,11,0.0011,395,0.0395
eval_candidate,101,scalar,23,10000,10000,1,0.0001,351,0.0351
item_rid,102,scalar,113,10000,10000,102,0.0102,9394,0.9394
eval_candidate,102,scalar,113,10000,10000,79,0.0079,9502,0.9502
item_rid,112,scalar,16,10000,10000,160,0.016,150,0.015
eval_candidate,112,scalar,16,10000,10000,100,0.01,148,0.0148
item_rid,114,scalar,7,10000,10000,12,0.0012,63,0.0063
eval_candidate,114,scalar,7,10000,10000,14,0.0014,69,0.0069
item_rid,115,scalar,7,10000,10000,6831,0.6831,664,0.0664
eval_candidate,115,scalar,7,10000,10000,7096,0.7096,454,0.0454
item_rid,116,scalar,11,10000,10000,12,0.0012,218,0.0218
eval_candidate,116,scalar,11,10000,10000,14,0.0014,181,0.0181
item_rid,117,scalar,45,10000,10000,160,0.016,1569,0.1569
eval_candidate,117,scalar,45,10000,10000,100,0.01,1603,0.1603
item_rid,118,scalar,70,10000,10000,165,0.0165,4244,0.4244
eval_candidate,118,scalar,70,10000,10000,100,0.01,4278,0.4278
item_rid,119,scalar,79,10000,10000,166,0.0166,5661,0.5661
eval_candidate,119,scalar,79,10000,10000,100,0.01,5722,0.5722
item_rid,120,scalar,48,10000,10000,186,0.0186,3373,0.3373
eval_candidate,120,scalar,48,10000,10000,100,0.01,3481,0.3481
item_rid,121,scalar,118,10000,10000,0,0.0,9876,0.9876
eval_candidate,121,scalar,118,10000,10000,0,0.0,9997,0.9997
item_rid,122,scalar,114,10000,10000,11,0.0011,9394,0.9394
eval_candidate,122,scalar,114,10000,10000,1,0.0001,9502,0.9502
