model,split,strength_group,k,sample_count,recall
itemcf:equal_all,validation,Overall,10,456206,0.007514149309741652
itemcf:equal_all,validation,Overall,50,456206,0.03569220922127284
itemcf:equal_all,validation,Overall,100,456206,0.06224600290219769
itemcf:equal_all,validation,Overall,500,456206,0.16572776333498462
itemcf:equal_all,validation,Head,10,225289,0.014226171717216553
itemcf:equal_all,validation,Head,50,225289,0.06625711863428752
itemcf:equal_all,validation,Head,100,225289,0.11533630137290325
itemcf:equal_all,validation,Head,500,225289,0.30400507792213555
itemcf:equal_all,validation,Mid,10,43314,0.003971002447245694
itemcf:equal_all,validation,Mid,50,43314,0.02650413261301196
itemcf:equal_all,validation,Mid,100,43314,0.046982499884563884
itemcf:equal_all,validation,Mid,500,43314,0.13970078958304474
itemcf:equal_all,validation,Tail,10,16296,0.0031296023564064803
itemcf:equal_all,validation,Tail,50,16296,0.012763868433971527
itemcf:equal_all,validation,Tail,100,16296,0.023195876288659795
itemcf:equal_all,validation,Tail,500,16296,0.06541482572410408
itemcf:equal_all,validation,Unseen,10,171307,0.0
itemcf:equal_all,validation,Unseen,50,171307,0.0
itemcf:equal_all,validation,Unseen,100,171307,0.0
itemcf:equal_all,validation,Unseen,500,171307,0.0
itemcf:equal_all,test,Overall,10,370673,0.004249028119123864
itemcf:equal_all,test,Overall,50,370673,0.020505944592673325
itemcf:equal_all,test,Overall,100,370673,0.035157672665664885
itemcf:equal_all,test,Overall,500,370673,0.09288780137749444
itemcf:equal_all,test,Head,10,98305,0.014943288744214434
itemcf:equal_all,test,Head,50,98305,0.0711764406693454
itemcf:equal_all,test,Head,100,98305,0.12192665683332486
itemcf:equal_all,test,Head,500,98305,0.32000406896902495
itemcf:equal_all,test,Mid,10,17783,0.004442445031771917
itemcf:equal_all,test,Mid,50,17783,0.027723106337513355
itemcf:equal_all,test,Mid,100,17783,0.048698194905246586
itemcf:equal_all,test,Mid,500,17783,0.14035876961142665
itemcf:equal_all,test,Tail,10,7087,0.0038097925779596443
itemcf:equal_all,test,Tail,50,7087,0.015662480598278537
itemcf:equal_all,test,Tail,100,7087,0.02539861718639763
itemcf:equal_all,test,Tail,500,7087,0.06730633554395372
itemcf:equal_all,test,Unseen,10,247498,0.0
itemcf:equal_all,test,Unseen,50,247498,0.0
itemcf:equal_all,test,Unseen,100,247498,0.0
itemcf:equal_all,test,Unseen,500,247498,0.0
itemcf:click3_all,validation,Overall,10,456206,0.007597445013875311
