epoch,train_loss,validation_loss,train_samples,validation_samples,is_best,significant_improvement,early_stopping_bad_epochs,validation_scope,train_seconds,validation_seconds,checkpoint_seconds,process_rss_mb,process_private_mb,system_available_mb,system_commit_available_mb
1,2.174312558836621,2.103992294005148,6949073,284899,1,1,0,complete_train_seen,,,,,,,
2,1.971918078214596,2.0619687801295328,6949073,284899,1,1,0,complete_train_seen,,,,,,,
3,1.9392461330323916,2.0447272217165464,6949073,284899,1,1,0,complete_train_seen,306.174,14.302,7.233,12049.0,16361.4,4114.1,21748.1
4,1.9246300340161506,2.0354440901716195,6949073,284899,1,1,0,complete_train_seen,279.58,15.202,1.838,13262.1,17904.0,4435.4,20782.9
5,1.9156952430199197,2.0289578833381396,6949073,284899,1,1,0,complete_train_seen,433.548,108.751,6.707,14436.3,18808.6,4228.2,20875.5
6,1.909492894454368,2.0245254149647387,6949073,284899,1,1,0,complete_train_seen,493.48,13.753,7.039,16580.6,23469.1,1734.7,17968.0
7,1.9046992075020794,2.0210558850058784,6949073,284899,1,1,0,complete_train_seen,277.087,13.727,1.906,17766.2,24896.8,1598.9,18331.5
8,1.900844893506804,2.018549340160466,6949073,284899,1,1,0,complete_train_seen,278.446,13.778,1.712,18379.0,26077.3,1790.9,18981.9
9,1.8977357104773402,2.016563897173059,6949073,284899,1,0,1,complete_train_seen,285.66,13.767,6.967,18030.7,30564.8,760.3,19805.2
10,1.8951835205033312,2.0145434992590023,6949073,284899,1,1,0,complete_train_seen,279.623,14.161,1.751,17226.9,32004.1,1269.4,21616.4
11,1.8928420335388019,2.0128223852401463,6949073,284899,1,0,1,complete_train_seen,279.602,24.075,5.466,15343.5,32941.5,1733.3,22665.6
12,1.890854741898939,2.0110079610161424,6949073,284899,1,1,0,complete_train_seen,2063.3,100.332,19.003,6617.3,37540.5,6400.3,21919.1
